0; 23
1; 23
2; 22
3; 30
4; 26
5; 22
6; 23
7; 21
8; 21
9; 27
10; 21
11; 26
12; 22
13; 32
14; 24
15; 21
16; 14
17; 19
18; 21
19; 19
20; 18
21; 16
22; 25
23; 13
24; 9
25; 7
26; 10
27; 9
28; 31
29; 25
30; 29
31; 21
32; 22
33; 18
34; 18
35; 14
36; 17
37; 19
38; 13
39; 18
40; 27
41; 21
42; 20
43; 14
44; 10
45; 15
46; 28
47; 25
48; 17
49; 21
50; 28
51; 19
52; 16
53; 18
54; 12
55; 21
56; 17
57; 16
58; 17
59; 20
60; 10
61; 21
62; 13
63; 14
64; 30
65; 28
66; 38
67; 40
68; 32
69; 30
70; 32
71; 28
72; 31
73; 32
74; 21
75; 24
76; 31
77; 21
78; 28
79; 30
80; 22
81; 18
82; 21
83; 22
84; 23
85; 18
86; 26
87; 16
88; 21
89; 22
90; 11
91; 17
92; 20
93; 17
94; 16
95; 16
96; 8
97; 11
98; 2
99; 6
100; 3
101; 6
102; 7
103; 3
104; 8
105; 5
106; 6
107; 1
108; 3
109; 1
110; 3
111; 8
112; 3
113; 2
114; 6
115; 13
116; 9
117; 1
118; 4
119; 5
120; 2
121; 9
122; 7
123; 10
124; 11
125; 7
126; 4
127; 5
128; 2
129; 4
130; 7
131; 9
132; 14
133; 7
134; 11
135; 13
136; 12
137; 11
138; 13
139; 9
140; 6
141; 7
142; 10
143; 8
144; 7
145; 9
146; 19
147; 8
148; 17
149; 12
150; 10
151; 4
152; 13
153; 12
154; 16
155; 15
156; 17
157; 19
158; 15
159; 12
160; 14
161; 13
162; 17
163; 15
164; 18
165; 15
166; 17
167; 12
168; 20
169; 14
170; 18
171; 26
172; 27
173; 24
174; 22
175; 17
176; 15
177; 15
178; 12
179; 13
180; 15
181; 16
182; 17
183; 22
184; 14
185; 10
186; 8
187; 9
188; 11
189; 38
190; 30
191; 44
192; 35
193; 35
194; 35
195; 37
196; 30
197; 36
198; 29
199; 42
200; 28
201; 32
202; 28
203; 36
204; 29
205; 22
206; 30
207; 27
208; 34
209; 30
210; 38
211; 29
212; 37
213; 15
214; 18
215; 30
216; 20
217; 27
218; 26
219; 18
220; 34
221; 11
222; 10
223; 5
224; 17
225; 13
226; 7
227; 9
228; 8
229; 10
230; 8
231; 9
232; 6
233; 11
234; 12
235; 4
236; 7
237; 5
238; 13
239; 8
240; 5
241; 5
242; 5
243; 3
244; 5
245; 5
246; 3
247; 8
248; 6
249; 13
250; 5
251; 2
252; 2
253; 5
254; 7
255; 6
256; 5
257; 7
258; 8
259; 5
260; 8
261; 8
262; 5
263; 7
264; 7
265; 8
266; 3
267; 3
268; 4
269; 2
270; 1
271; 1
272; 5
273; 1
274; 11
275; 10
276; 9
277; 6
278; 23
279; 18
280; 14
281; 18
282; 14
283; 16
284; 16
285; 17
286; 13
287; 21
288; 17
289; 20
290; 15
291; 25
292; 12
293; 18
294; 12
295; 18
296; 27
297; 18
298; 19
299; 26
300; 22
301; 19
302; 15
303; 22
304; 10
305; 23
306; 17
307; 12
308; 11
309; 24
310; 11
311; 13
312; 14
313; 10
314; 47
315; 33
316; 35
317; 29
318; 33
319; 34
320; 29
321; 23
322; 35
323; 29
324; 30
325; 37
326; 27
327; 23
328; 29
329; 36
330; 28
331; 26
332; 35
333; 26
334; 31
335; 31
336; 24
337; 30
338; 26
339; 21
340; 26
